entity_id,summary,biography,contribution,level
chaitanya,"Шри Чайтанья Махапрабху — совместное явление Радхи и Кришны, основоположник движения санкиртаны.","Шри Чайтанья Махапрабху явился в Навадвипе в 1486 году. Приняв санньясу в двадцать четыре года, Он распространял совместное воспевание святых имён по всей Индии и провёл последние годы в Джаганнатха-Пури, погружённый в настроение разлуки Шримати Радхарани.","Открыл людям века Кали юга-дхарму — санкиртану, совместное воспевание имён Кришны.",gold
nityananda,"Господь Баларама в Гауранга Лиле, предвечный духовный учитель и олицетворение беспричинной милости; вместе с Шри Чайтаньей даровал миру святое имя.","Шри Нитьянанда Прабху — это Сам Баларама, явившийся в деревне Экачакра в Бенгалии в семье Хадая Пандита и Падмавати. Ещё юношей Он ушёл странствовать по святым местам как авадхута и, достигнув Навадвипы, присоединился к Шри Чайтанье, став Его ближайшим спутником в движении санкиртаны.","Нитьянанда возглавил проповедь святого имени в Бенгалии, наводнив Гауда-дешу любовью к Богу и не отказывая в милости никому, даже таким падшим грешникам, как Джагай и Мадхай. По воле Махапрабху Он принял семейную жизнь, явив, что преданное служение доступно всем. Гаудия-вайшнавы почитают Его как олицетворение милосердия, без чьего благословения не приблизиться к Шри Чайтанье.",gold
advaita,Объединённое воплощение Маха-Вишну и Садашивы; своим состраданием и зовом низвёл Шри Чайтанью в этот мир.,"Шри Адвайта Ачарья — объединённое воплощение Маха-Вишну и Садашивы и старший современник Шри Чайтаньи. Великий знаток писаний, Он жил в Шантипуре на берегу Ганги вместе с супругой Ситой Тхакурани и был почитаемым главой вайшнавов Бенгалии.","Скорбя о безбожии века Кали, Адвайта Ачарья поклонялся Кришне водой Ганги и листьями туласи и громко взывал к Господу низойти — и его молитвами явился Шри Чайтанья. Он решительно отстаивал путь чистой преданности против имперсонализма и как бхакта-аватара в Панча-таттве вечно участвует в раздаче любви к Богу.",gold
gadadhara,Шри Гададхара Пандит — олицетворение внутренней энергии Господа.,"Шри Гададхара Пандит, спутник Махапрабху с детства, считается проявлением энергии наслаждения Господа. В Пури он служил Божеству Гопинатхи и был неразлучен с Чайтаньей.",Явил образец чистой преданности в настроении служения.,gold
srivasa,Шрила Шриваса Тхакур — проявление Нарады Муни.,В доме Шривасы Тхакура в Навадвипе Шри Чайтанья со спутниками ночами вёл сокровенную санкиртану. Шриваса считается проявлением Нарады Муни.,В его доме зародилось движение санкиртаны Махапрабху.,gold
rupa-goswami,"Глава Шести Госвами Вриндавана; уполномоченный Шри Чайтаньей, он изложил науку преданного служения и рас любви к Богу.","Шрила Рупа Госвами — глава Шести Госвами Вриндавана и главный из спутников, кому Шри Чайтанья доверил изложить науку бхакти. Прежде он вместе с братом Санатаной служил министром (Дабира Кхас) при бенгальском навабе, но, встретив Махапрабху, оставил богатство и положение ради преданного служения.","Встретив Шри Чайтанью в Праяге, Рупа Госвами десять дней внимал Его наставлениям о „лиане преданности“ и был уполномочен изложить науку рас. Он написал основополагающие труды Гаудия-вайшнавизма — „Бхакти-расамрита-синдху“, „Уджжвала-ниламани“, „Упадешамриту“ и другие, выстроив всё богословие преданного служения. Его вечный облик — Рупа-манджари, главная служанка Радхарани, и весь путь Гаудиев называется рупануга — следование за Рупой.",gold
sanatana-goswami,"Старший из Шести Госвами Вриндавана; получив от Шри Чайтаньи знание о душе, Боге и их связи, он заложил основы Гаудия-богословия.","Шрила Санатана Госвами — старший из Шести Госвами и старший брат Рупы. Прежде он был главным министром (Сакара Маллик) при навабе Хуссейн-шахе, но, стремясь служить Махапрабху, оставил пост, был заточён в темницу, бежал и присоединился к Шри Чайтанье в Варанаси.","В Варанаси Шри Чайтанья в течение двух месяцев открыл Санатане самбандха-гьяну — знание о душе, Верховном Господе и их вечной связи, заложив основу всего Гаудия-богословия. Санатана написал „Хари-бхакти-виласу“ — свод вайшнавского поведения, „Брихад-бхагаватамриту“ и комментарий „Вайшнава-тошани“ к Десятой песни „Бхагаватам“, а во Вриндаване установил Божество Мадана-мохана. Его жизнь — образец величайшего смирения.",gold
jiva-goswami,Величайший философ Гаудия-вайшнавов; в Шести Сандарбхах он дал традиции стройное богословское основание.,"Шрила Джива Госвами — племянник Рупы и Санатаны (сын их младшего брата Анупамы) и величайший философ Гаудия-сампрадаи. В юности Нитьянанда явил ему славу Навадвипы; затем он изучал санскрит и веданту в Варанаси и пришёл во Вриндаван, чтобы учиться у Рупы и Санатаны.","Джива Госвами создал „Шат-сандарбху“ — шесть трактатов (Таттва-, Бхагават-, Параматма-, Кришна-, Бхакти- и Прити-сандарбха), давших Гаудия-вайшнавизму полное и стройное богословское основание на философии ачинтья-бхеда-абхеды. Он написал также санскритскую грамматику „Хари-намамрита-вьякарана“, „Гопала-чампу“ и комментарии к трудам Рупы и к „Бхагаватам“, установил во Вриндаване храм Радхи-Дамодары и после ухода Рупы и Санатаны стал главным ачарьей, наставившим Нароттаму, Шринивасу и Шьямананду.",gold
gopala-bhatta-goswami,Один из Шести Госвами Вриндавана; явил Божество Радха-Рамана и установил нормы вайшнавского поклонения.,"Шрила Гопал Бхатта Госвами — один из Шести Госвами Вриндавана. Он родился в Шри Рангаме (Южная Индия) в семье шри-вайшнавского брахмана Венката Бхатты. Во время паломничества по Южной Индии Шри Чайтанья четыре месяца гостил в доме его отца и одарил отрока Гопала Бхатту особой милостью, повелев ему отправиться во Вриндаван.","По указанию Махапрабху Гопал Бхатта пришёл во Вриндаван и присоединился к Рупе и Санатане. Из шалаграма-шилы по его молитве самопроявилось прекрасное Божество Радха-Рамана (1542), которому поклоняются во Вриндаване и поныне. Он составил „Хари-бхакти-виласу“ — свод правил вайшнавского поведения — и „Сат-крия-сара-дипику“, установив нормы поклонения Божествам и вайшнавских обрядов.",gold
raghunatha-bhatta-goswami,Один из Шести Госвами; прославлен сладостным чтением „Шримад-Бхагаватам“ и чистейшим преданным служением.,"Шрила Рагхунатха Бхатта Госвами — один из Шести Госвами Вриндавана, сын Тапаны Мишры из Варанаси. Ещё отроком он служил Шри Чайтанье, когда Господь останавливался в доме его отца, и был одарён Его особой милостью.","Прожив некоторое время в Пури в служении Махапрабху, Рагхунатха Бхатта по Его указанию отправился во Вриндаван, чтобы непрестанно декламировать „Шримад-Бхагаватам“. Он читал священное писание с такой сладостью и чувством, что слушатели плакали от любви к Богу; он никогда не говорил о мирском и не осуждал других. Во Вриндаване он с любовью служил Божеству Говиндаджи, явив собой совершенный образец бхагавата-дхармы — слушания и воспевания славы Господа.",gold
